deep_seq	shallow_seq
MFD00731	MFD01765
MFD00731	MFD01766
MFD00731	MFD02124
MFD00731	MFD02167
MFD00731	MFD02252
MFD00731	MFD02386
MFD00731	MFD02453
MFD00731	MFD04374
MFD00731	MFD04478
MFD00731	MFD04516
MFD00731	MFD04713
MFD00731	MFD04738
MFD00731	MFD04796
MFD00731	MFD04824
MFD00731	MFD04862
MFD00731	MFD04901
MFD00731	MFD05049
MFD00731	MFD05373
MFD00731	MFD05382
MFD00731	MFD05406
MFD00731	MFD05452
MFD00731	MFD05466
MFD00731	MFD05494
MFD00731	MFD05669
MFD00731	MFD05712
MFD00731	MFD06105
MFD00731	MFD06122
MFD00731	MFD06133
MFD00731	MFD06142
MFD00731	MFD06182
MFD00731	MFD06191
MFD00731	MFD06513
MFD00731	MFD09312
MFD00731	MFD09409
MFD00731	MFD10067
MFD00822	MFD00065
MFD00822	MFD00079
MFD00822	MFD00148
MFD00822	MFD00268
MFD00822	MFD00305
MFD00822	MFD00334
MFD00822	MFD00345
MFD00822	MFD00421
MFD00822	MFD00423
MFD00822	MFD00433
MFD00822	MFD00445
MFD00822	MFD00522
MFD00822	MFD00808
MFD00822	MFD00820
MFD00822	MFD00822
MFD00822	MFD01047
MFD00822	MFD01174
MFD00822	MFD01245
MFD00822	MFD01450
MFD00822	MFD01455
MFD00822	MFD01794
MFD00822	MFD01888
MFD00822	MFD02128
MFD00822	MFD02160
MFD00822	MFD02215
MFD00822	MFD02251
MFD00822	MFD02329
MFD00822	MFD02436
MFD00822	MFD03607
MFD00822	MFD03716
MFD00822	MFD04883
MFD00822	MFD05074
MFD00822	MFD05799
MFD00822	MFD05808
MFD00822	MFD05923
MFD00822	MFD05930
MFD00822	MFD05932
MFD00822	MFD05958
MFD00822	MFD05960
MFD00822	MFD06034
MFD00822	MFD06061
MFD00822	MFD06082
MFD00822	MFD06126
MFD00822	MFD06249
MFD00822	MFD06273
MFD00822	MFD06553
MFD00822	MFD06576
MFD00822	MFD06655
MFD00822	MFD07218
MFD00822	MFD09507
MFD00905	MFD00854
MFD00905	MFD01054
MFD00905	MFD01057
MFD00905	MFD01441
MFD00905	MFD01517
MFD00905	MFD01525
MFD00905	MFD01593
MFD00905	MFD01667
MFD00905	MFD01681
MFD00905	MFD01687
MFD00905	MFD01745
