fieldsample_barcode	habitat_typenumber	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	longitude	latitude	assembled	reads_n	reads_size_bp	reads_N50_bp	reads_len_max_bp	reads_len_min_bp	reads_mean_len_bp	reads_median_len_bp	reads_mean_q	reads_median_q	contigs_n	contigs_size_bp	contigs_N50_bp	contigs_len_max_bp	contigs_len_min_bp	contigs_mean_len_bp	contigs_median_len_bp	HQ_mags	MQ_mags	r_abund	r_abund_hq	nanopore	speed_bps	sampling_khz	device	minknow_v	basecaller	basecaller_v	mmlong2_v	ENA_id	ENA_raw1	ENA_raw2	ENA_raw3	ENA_reads
MFD01476	3160	Sediment	Natural	Freshwater	Standing freshwater	Lake, Dystrophic	8.826613964	56.50596583	68.003	22100849	70453509186	7253	587565	200	3187	1230	12.1	16.7	72080	1988109488	59329	7039462	3000	27581	11963	60	144	43.181	16.813	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381676	ERX10906765	ERX10906766	ERX10906767	ERX10996851
MFD01561	3200	Sediment	Natural	Freshwater	Running freshwater		10.085	57.4821	49.115	17624531	91870963397	7738	323275	200	5212	4661	15.2	17.4	33822	1240864943	92636	3617538	3000	36688	14849	9	68	21.843	2.9	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381630	ERX10639792	ERX10639793	ERX10639794	ERX10995507
MFD01633	2180	Soil	Natural	Dunes	Sea dunes	Wooded dunes	10.4749	57.6666	67.112	9535045	46983408505	7485	608447	200	4927	4207	16.8	17.2	108487	2855268437	45742	5984166	3001	26318	13450	47	143	48.835	15.584	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381622	ERX10599525	ERX10599526	ERX10599527	ERX10965197
MFD01689	7150	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Rhynchosporion depressions	8.4696	55.595	61.683	30250545	63167746858	3319	764147	200	2088	1361	14.3	17.2	33546	900975439	77584	7634710	3000	26857	9834	37	70	53.431	29.717	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381637	ERX10650167	ERX10650168	ERX10650169	ERX10975313
MFD01716	4110	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath	8.9253	56.4939	78.813	24228199	112210146393	6728	1130222	200	4631	3631	11.1	17.2	54115	2264704904	135718	5241559	3000	41849	13990	75	127	53.194	22.409	R10.4.1	400	4	P24	22.10.6	Guppy	6.3.9	1.0.1	ERS14379753	ERX10186082	ERX10186083	ERX10186084	ERX10207457
MFD01721	1310	Soil	Natural	Coastal	Salt marshes and salt meadows	Salicornia mud	10.5019	55.4485	78.75	28183933	135402933653	6419	349901	200	4804	4167	16.7	18.1	47143	2432325695	225791	7504895	3000	51594	13731	153	186	69.238	37.682	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381693	ERX11040647	ERX11040648	ERX11040649	ERX11119394
MFD01828	7120	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Degraded raised bog	9.912	56.8261	68.622	18376279	50055493621	5345	918632	200	2723	1385	14.6	16.5	35503	1084563374	79990	6203763	3000	30548	11601	25	72	52.235	17.356	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381631	ERX10607242	ERX10607243	ERX10607244	ERX10929533
MFD01872	7230	Soil	Natural	Bogs, mires and fens	Calcareous fens	Alkaline fens	8.4984	55.6264	70.201	31888835	159709926572	7368	263953	200	5008	4061	16	17.6	115098	3812174393	83028	4153430	3000	33121	13417	72	214	35.564	11.58	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381679	ERX10958243	ERX10958244	ERX10958245	ERX10996854
MFD01916	2130	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	10.4385	57.5446	62.48	16080018	92836955290	7939	452099	200	5773	5184	16.7	18.1	28031	1554944697	160289	11260833	3000	55472	18964	32	85	36.887	15.416	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381655	ERX10817703	ERX10817704	ERX10817705	ERX10995858
MFD02134	7700	Soil	Natural	Bogs, mires and fens	Wet thicket  (non-habitat type)		9.5887	56.0562	63.2	34371508	138083956026	6064	669357	200	4017	3354	15.6	19.5	67150	2480992117	98282	3678338	3000	36947	14013	46	169	37.839	9.704	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928275	ERX11228886	ERX11228887	ERX11228888	ERX11419405
