fieldsample_barcode	habitat_typenumber	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	longitude	latitude	assembled	reads_n	reads_size_bp	reads_N50_bp	reads_len_max_bp	reads_len_min_bp	reads_mean_len_bp	reads_median_len_bp	reads_mean_q	reads_median_q	contigs_n	contigs_size_bp	contigs_N50_bp	contigs_len_max_bp	contigs_len_min_bp	contigs_mean_len_bp	contigs_median_len_bp	HQ_mags	MQ_mags	r_abund	r_abund_hq	nanopore	speed_bps	sampling_khz	device	minknow_v	basecaller	basecaller_v	mmlong2_v	ENA_id	ENA_raw1	ENA_raw2	ENA_raw3	ENA_reads
MFD08767	6212	Soil	Agriculture	Fields	Poales, grass	Grass for crop, Ryegrass	9.237157824	55.45094022	43.708	10918323	33575715986	5792	776661	200	3075	1899	16.5	16.6	76029	1192420862	21818	1196874	3000	15683	9507	4	45	17.464	2.014	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381646	ERX10817712	ERX10817713	ERX10817714	ERX10995853
MFD08821	6143	Soil	Agriculture	Fields	Poales, Cereal	Barley, Winter	9.394363859	55.36067573	50.283	16377837	42877897960	4554	684948	200	2618	1757	16.4	16.9	166092	2075943428	16476	1550193	3000	12498	7827	10	79	23.726	3.674	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381638	ERX10645097	ERX10645098	ERX10645099	ERX10995508
MFD08988	6141	Soil	Agriculture	Fields	Poales, Cereal	Barley, Spring	10.23671779	57.0622884	41.152	27148902	58461661461	4122	672407	200	2153	1188	10.8	16.7	32996	644687768	37233	1810984	3000	19538	9333	3	43	29.209	2.036	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381643	ERX10910657	ERX10910658	ERX10910659	ERX10995850
MFD09018	6713	Soil	Agriculture	Fields	Malvids	Brassicales, Rapeseed, Winter	10.21337016	56.34373946	51.189	19773271	76688722087	5358	779373	200	3878	3149	13.6	17.5	48790	1229048667	51056	3214554	3000	25190	11675	14	76	29.324	5.604	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381642	ERX10668856	ERX10668857	ERX10668858	ERX10975317
MFD09055	6111	Soil	Agriculture	Fields	Poales, Cereal	Oat, Spring	10.51551929	55.80125128	50.175	16131662	61815835891	5670	445395	200	3831	3323	16.4	17.6	39246	954843428	47759	1577780	3000	24329	11521	4	68	33.254	1.894	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381692	ERX11002268	ERX11002269	ERX11002270	ERX11032519
MFD09126	6141	Soil	Agriculture	Fields	Poales, Cereal	Barley, Spring	11.61913871	55.60291274	49.451	19607412	70815884568	5189	513417	200	3611	3054	13.7	17.2	40521	956350856	45731	3461024	3000	23601	11324	9	56	26.401	4.927	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381700	ERX11002273	ERX11002274	ERX11002275	ERX11032520
MFD09206	6120	Soil	Natural	Grassland formations	Natural grasslands	Xeric sand calcareous grasslands	10.25672	56.90236	58.855	21880486	117247692474	7192	541627	200	5358	4640	12.3	17.5	71703	2558226564	70186	7491284	3000	35678	17978	36	126	31.499	10.572	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381702	ERX11010072	ERX11010073	ERX11010074	ERX11032522
MFD09212	6120	Soil	Natural	Grassland formations	Natural grasslands	Xeric sand calcareous grasslands	10.25675	56.90241	58.51	27042024	141278129301	7160	496870	200	5224	4501	14.8	17.7	72802	2707464507	96062	9536885	3000	37189	14226	48	136	37.371	13.181	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381640	ERX10675170	ERX10675171	ERX10675172	ERX10975318
MFD09222	4110	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath	9.2476	56.2643	74.008	40951213	96769495827	4947	782387	200	2363	1121	13.1	18.3	85070	2208714660	56111	5556121	3000	25963	11282	59	122	42.836	19.232	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928288	ERX11276180	ERX11276181	ERX11276182	ERX11420358
MFD09267	6120	Soil	Natural	Grassland formations	Natural grasslands	Xeric sand calcareous grasslands	9.28746	56.98291	62.289	27850637	171377250327	7842	607450	200	6153	5317	17.7	18.3	109417	3737382607	77239	3315447	3000	34157	15206	48	243	35.047	7.161	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381703	ERX11109136	ERX11109137	ERX11109138	ERX11119399
MFD09286	2140	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	8.26815	56.81197	70.557	41508282	120514646724	5166	728750	200	2903	2023	12.9	17.4	66514	2424804739	97150	6696006	3000	36455	13880	63	148	45.887	18.28	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381704	ERX11099735	ERX11099736	ERX11099737	ERX11119396
MFD09368	6200	Soil	Natural	Grassland formations	Semi-natural dry grasslands		9.3861	54.8519	62.862	30948527	138643912556	6796	279479	200	4479	3456	17.3	18.4	78212	2827547573	86697	7663956	3000	36152	14699	44	136	37.607	14.831	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381687	ERX11081450	ERX11081451	ERX11081452	ERX11119392
MFD09400	2120	Soil	Natural	Dunes	Sea dunes	Marram dunes (white dunes)	15.0763	54.9911	25.969	5916815	6300419124	2315	263294	200	1064	464	17	17.1	7486	111422826	19802	967041	3001	14884	9553	1	2	15.437	7.473	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381665	ERX10675536	ERX10675537	ERX10675538	ERX10996331
MFD09495	2170	Soil	Natural	Dunes	Sea dunes	Dunes creeping willow	15.0805	54.9907	67.603	12390661	59357829902	6599	322352	200	4790	3960	16.9	17.7	21161	1207522379	197027	7080295	3000	57063	17113	43	75	51.733	26.563	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381666	ERX10683776	ERX10683777	ERX10683778	ERX10929549
MFD09567	7120	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Degraded raised bog	10.2565	55.2555	73.233	36981278	85584626059	4264	933484	200	2314	1356	14.5	18.2	50473	1413553623	64124	4961946	3000	28006	11773	28	90	51.548	20.635	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928289	ERX11264328	ERX11264329	ERX11264330	ERX11419413
MFD09603	8220	Soil	Natural	Rocky habitats and caves	Rocky slopes with vegetation	Siliceous rocky slopes	14.9796	55.2067	77.452	26695946	166697730801	8671	864635	200	6244	5300	15.5	18	60531	3470357688	188373	7978397	3000	57331	18562	112	239	55.736	23.479	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381674	ERX10914349	ERX10914350	ERX10914351	ERX10996849
MFD09671	2190	Soil	Natural	Dunes	Sea dunes	Humid dune slacks	15.0788	54.9903	66.556	51591081	96354697853	4248	284429	200	1867	816	10.4	17.1	49795	1887652469	166684	7603827	3000	37908	10845	57	123	46.1	18.328	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381667	ERX10683773	ERX10683774	ERX10683775	ERX10929550
MFD09730	3131	Sediment	Urban	Freshwater	Standing freshwater	Rainwater basin, Dried	12.0297	55.5412	60.854	25059079	106872937197	6830	819346	200	4264	3226	18.9	19.3	47627	1684886368	88999	5893072	3000	35376	14200	19	118	33.257	5.365	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928290	ERX11266171	ERX11266172	ERX11266173	ERX11419414
MFD09779	1300	Sediment	Natural	Saltwater	Fjords		8.1689	56.3361	66.347	36455460	131989045709	6121	874943	200	3620	2467	14.7	19.3	57683	2611437103	142259	4741237	3000	45272	15292	112	194	46.793	20.868	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252371	ERX11327806	ERX11327807	ERX11327808	ERX11420854
MFD09848	3120	Sediment	Urban	Freshwater	Standing freshwater	Rainwater basin, City	12.025	55.4573	56.168	29857853	93661502148	5527	886165	200	3136	2092	18	19	33522	1145655868	91876	2878366	3000	34176	12918	15	72	33.371	9.308	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928291	ERX11265205	ERX11265206	ERX11265207	ERX11420350
MFD09964	1300	Sediment	Natural	Saltwater	Fjords		9.0763	56.5565	67.361	39439311	128248984035	6343	818065	200	3251	1841	13.6	18.6	49421	2406048365	169346	4322629	3000	48684	14970	120	212	56.816	26.532	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252372	ERX11337411	ERX11337412	ERX11337413	ERX11420855
MFD10007	3110	Sediment	Urban	Freshwater	Standing freshwater	Enclosed water	12.4931	55.8579	60.844	41430091	133231594655	6251	585244	200	3215	1856	13	19.2	60374	1971238703	79506	4364050	3000	32650	13180	43	129	39.003	10.703	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928292	ERX11267358	ERX11267359	ERX11267360	ERX11420351
MFD10043	6410	Soil	Urban	Urban	Greenspaces	Parks	12.5417	56.075	61.747	14562861	55947840133	7907	624832	200	3841	2014	17	17.9	34678	972688670	66198	6168405	3000	28049	11781	4	57	27.797	2.965	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381641	ERX10910654	ERX10910655	ERX10910656	ERX10995849
MFD10064	2140	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	8.42712	56.91759	65.757	13776183	32999006272	4957	2347571	200	2395	1248	16.8	16.9	87191	1760685728	37548	4098448	3000	20193	9813	37	99	51.065	20.983	R10.4.1	400	4	P2	22.07.4	Guppy	6.3.2	1.0.1	ERS14381610	ERX10188411	ERX10188412	ERX10188413	ERX10207467
MFD10071	4130	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	9.26934	56.24389	68.277	26245549	73722522458	5873	670233	200	2808	1437	17.2	18.9	67837	1699757898	51781	4730636	3000	25056	11533	23	92	44.295	10.406	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928293	ERX11267362	ERX11267363	ERX11267364	ERX11420352
MFD10097	6130	Soil	Subterranean	Urban	Potential pollution	Pollution	10.146	56.121	47.134	73296227	51388468884	877	711515	200	701	505	7.3	18.1	15241	210121505	20748	779487	3000	13786	7497	12	31	73.875	42.505	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928294	ERX11271173	ERX11271174	ERX11271175	ERX11420353
MFD10113	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	10.53657601	56.22162665	60.211	28884820	138438507760	6988	600267	200	4792	4016	18.6	19.2	43266	2169956264	153738	4028098	3000	50153	17596	32	127	31.819	7.034	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252373	ERX11404623	ERX11404624	ERX11404625	ERX11423444
