fieldsample_barcode	habitat_typenumber	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	longitude	latitude	flat_name	after_total_reads	after_total_bases
MFD12944	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.53108066	55.3209007	LIB-MJ387-A6_01.fastq.gz	7481198	1041136024
MFD12945	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.59112435	55.39174902	LIB-MJ389-D9_03.fastq.gz	1683234	237860360
MFD12946	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.53281735	55.29179353	LIB-MJ388-E10_02.fastq.gz	8580562	1220866452
MFD12947	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.73134975	55.45212925	LIB-MJ388-B6_02.fastq.gz	15277160	2224438005
MFD12948	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.47179327	55.31297808	LIB-MJ389-D11_03.fastq.gz	5541844	779274430
MFD12949	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.32751625	55.13305423	LIB-MJ386-G9_04.fastq.gz	19661346	2810733141
MFD12950	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.32711393	55.03063031	LIB-MJ387-E11_01.fastq.gz	10357052	1522923067
MFD12951	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.58630083	55.32961132	LIB-MJ386-H6_04.fastq.gz	18807582	2576317206
MFD12952	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.87902127	55.50550278	LIB-MJ386-H11_04.fastq.gz	15710862	2108457013
MFD12953	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.58630083	55.32961132	LIB-MJ386-G4_04.fastq.gz	9244218	1344609250
MFD12954	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.0226405	55.52425623	LIB-MJ388-D4_02.fastq.gz	10839290	1581735764
MFD12955	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.16709936	55.53988164	LIB-MJ389-B9_03.fastq.gz	26701634	3707410433
MFD12956	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.3146058	55.53700208	LIB-MJ387-E8_01.fastq.gz	44999792	6182557130
MFD12957	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.24085534	55.53846405	LIB-MJ388-B3_02.fastq.gz	6256502	844276223
MFD12958	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.24085534	55.53846405	LIB-MJ388-B2_02.fastq.gz	43962590	6075128542
MFD12959	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.0226405	55.52425623	LIB-MJ390-D1_03.fastq.gz	60303702	8400079759
MFD12960	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.16709936	55.53988164	LIB-MJ388-H10_02.fastq.gz	28432566	4001802433
