Genus,n_observations,n_abundant,mean_abundance,Genus_type,complex1,group_size,Core,prevalence,fidelity
MFD_g_4664,26,21,0.349301397205589,Core,"Sediment, Subterranean, Saltwater",36,18,0.722222222222222,1
Woeseia,31,24,0.340984697272123,Core,"Sediment, Subterranean, Saltwater",36,18,0.861111111111111,2
MFD_g_2391,28,20,0.340984697272122,Core,"Sediment, Subterranean, Saltwater",36,18,0.777777777777778,1
MFD_g_6,29,20,0.32435129740519,Core,"Sediment, Subterranean, Saltwater",36,18,0.805555555555556,8
Pelolinea,26,21,0.318806830782879,Core,"Sediment, Subterranean, Saltwater",36,18,0.722222222222222,1
Ilumatobacter,28,23,0.302173430915946,Core,"Sediment, Subterranean, Saltwater",36,18,0.777777777777778,7
MFD_g_13573,26,25,0.285540031049013,Core,"Sediment, Subterranean, Saltwater",36,18,0.722222222222222,1
MFD_g_812630,23,20,0.279995564426702,Core,"Sediment, Subterranean, Saltwater",36,18,0.638888888888889,1
MFD_g_10875,26,20,0.271678864493236,Core,"Sediment, Subterranean, Saltwater",36,18,0.722222222222222,1
MFD_g_5611,32,22,0.252273231315147,Core,"Sediment, Subterranean, Saltwater",36,18,0.888888888888889,1
MFD_g_5665,28,22,0.249500998003992,Core,"Sediment, Subterranean, Saltwater",36,18,0.777777777777778,1
MFD_g_1043006,32,19,0.213461964958971,Core,"Sediment, Subterranean, Saltwater",36,18,0.888888888888889,1
MFD_g_8577,23,19,0.202373031714349,Core,"Sediment, Subterranean, Saltwater",36,18,0.638888888888889,1
MFD_g_60466,26,18,0.202373031714349,Core,"Sediment, Subterranean, Saltwater",36,18,0.722222222222222,1
Bacillus,187,173,2.12424891150342,Core,"Sediment, Urban, Freshwater",193,97,0.968911917098446,13
Clostridium_sensu_stricto_1,179,169,1.70488039465111,Core,"Sediment, Urban, Freshwater",193,97,0.927461139896373,5
MFD_g_2945,186,177,0.85166454655456,Core,"Sediment, Urban, Freshwater",193,97,0.963730569948187,3
Clostridium_sensu_stricto_13,172,147,0.785475680762827,Core,"Sediment, Urban, Freshwater",193,97,0.89119170984456,5
Mycobacterium,184,162,0.668093864085301,Core,"Sediment, Urban, Freshwater",193,97,0.953367875647668,15
Desulfobacca,163,146,0.66602546202931,Core,"Sediment, Urban, Freshwater",193,97,0.844559585492228,3
Luteolibacter,169,146,0.593114289555604,Core,"Sediment, Urban, Freshwater",193,97,0.875647668393782,4
MFD_g_782,185,174,0.592080088527608,Core,"Sediment, Urban, Freshwater",193,97,0.958549222797927,7
Methanosaeta,155,140,0.570878967453694,Core,"Sediment, Urban, Freshwater",193,97,0.803108808290156,2
MFD_g_657,152,128,0.516583413483913,Core,"Sediment, Urban, Freshwater",193,97,0.787564766839378,2
Spirochaeta,160,133,0.507792704745949,Core,"Sediment, Urban, Freshwater",193,97,0.829015544041451,3
Nocardioides,152,125,0.502104599091972,Core,"Sediment, Urban, Freshwater",193,97,0.787564766839378,11
MFD_g_561,158,133,0.485040282130041,Core,"Sediment, Urban, Freshwater",193,97,0.818652849740933,2
Anaeromyxobacter,157,125,0.466941764140114,Core,"Sediment, Urban, Freshwater",193,97,0.813471502590674,2
MFD_g_4212,170,152,0.458151055402149,Core,"Sediment, Urban, Freshwater",193,97,0.880829015544041,3
Syntrophorhabdus,167,144,0.451428748720176,Core,"Sediment, Urban, Freshwater",193,97,0.865284974093264,2
Anaerolinea,165,147,0.430227627646262,Core,"Sediment, Urban, Freshwater",193,97,0.854922279792746,2
MFD_g_1100,156,124,0.429710527132264,Core,"Sediment, Urban, Freshwater",193,97,0.808290155440415,1
Gaiella,147,118,0.427642125076272,Core,"Sediment, Urban, Freshwater",193,97,0.761658031088083,7
Methanosarcina,161,135,0.424539521992285,Core,"Sediment, Urban, Freshwater",193,97,0.83419689119171,1
Haliangium,163,139,0.375414973162483,Core,"Sediment, Urban, Freshwater",193,97,0.844559585492228,12
Methanoregula,146,125,0.37386367162049,Core,"Sediment, Urban, Freshwater",193,97,0.756476683937824,1
Romboutsia,128,99,0.368692666480511,Core,"Sediment, Urban, Freshwater",193,97,0.663212435233161,3
Methanobacterium,157,128,0.354213852088569,Core,"Sediment, Urban, Freshwater",193,97,0.813471502590674,1
Hyphomicrobium,175,144,0.353179651060573,Core,"Sediment, Urban, Freshwater",193,97,0.906735751295337,5
MFD_g_2750,162,141,0.34904284694859,Core,"Sediment, Urban, Freshwater",193,97,0.839378238341969,2
Pir4_lineage,166,117,0.331461429472661,Core,"Sediment, Urban, Freshwater",193,97,0.860103626943005,10
MFD_g_2480,157,123,0.32680752484668,Core,"Sediment, Urban, Freshwater",193,97,0.813471502590674,3
Paenibacillus,159,121,0.323187821248694,Core,"Sediment, Urban, Freshwater",193,97,0.823834196891192,10
Sva0081_sediment_group,151,119,0.306123504286763,Core,"Sediment, Urban, Freshwater",193,97,0.782383419689119,3
MFD_g_8542,147,108,0.292678890922818,Core,"Sediment, Urban, Freshwater",193,97,0.761658031088083,2
Leptolinea,155,123,0.291127589380824,Core,"Sediment, Urban, Freshwater",193,97,0.803108808290156,1
MFD_g_6,148,107,0.288542086810834,Core,"Sediment, Urban, Freshwater",193,97,0.766839378238342,8
Crenothrix,135,99,0.278200076530876,Core,"Sediment, Urban, Freshwater",193,97,0.699481865284974,2
MFD_g_40582,150,114,0.273029071390897,Core,"Sediment, Urban, Freshwater",193,97,0.77720207253886,2
MFD_g_758,162,116,0.270960669334905,Core,"Sediment, Urban, Freshwater",193,97,0.839378238341969,1
MFD_g_2744,142,104,0.26992646830691,Core,"Sediment, Urban, Freshwater",193,97,0.735751295336788,4
MFD_g_5535,155,114,0.25751605597096,Core,"Sediment, Urban, Freshwater",193,97,0.803108808290156,7
MFD_g_7353,129,99,0.253379251858976,Core,"Sediment, Urban, Freshwater",193,97,0.66839378238342,1
Pirellula,157,107,0.251310849802985,Core,"Sediment, Urban, Freshwater",193,97,0.813471502590674,7
MFD_g_4101,150,111,0.226490025131085,Core,"Sediment, Urban, Freshwater",193,97,0.77720207253886,1
ADurb.Bin063-1,156,107,0.214079612795135,Core,"Sediment, Urban, Freshwater",193,97,0.808290155440415,1
Syntrophus,148,104,0.208391507141158,Core,"Sediment, Urban, Freshwater",193,97,0.766839378238342,2
MFD_g_1394,142,107,0.206840205599164,Core,"Sediment, Urban, Freshwater",193,97,0.735751295336788,1
Phormidesmis_ANT.LACV5.1,19,15,2.55141890132778,Core,"Sediment, Urban, Saltwater",23,12,0.826086956521739,1
Maribacter,23,22,2.217304521392,Core,"Sediment, Urban, Saltwater",23,12,1,2
Pseudoalteromonas,17,14,2.1999479302265,Core,"Sediment, Urban, Saltwater",23,12,0.739130434782609,1
Shewanella,16,14,1.26269200728977,Core,"Sediment, Urban, Saltwater",23,12,0.695652173913044,1
Vibrio,14,12,0.9763082530591,Core,"Sediment, Urban, Saltwater",23,12,0.608695652173913,1
Lewinella,22,20,0.746333420116289,Core,"Sediment, Urban, Saltwater",23,12,0.956521739130435,2
Psychromonas,13,12,0.676907055454309,Core,"Sediment, Urban, Saltwater",23,12,0.565217391304348,1
Ilumatobacter,18,15,0.65521131649744,Core,"Sediment, Urban, Saltwater",23,12,0.782608695652174,7
Luteolibacter,19,16,0.577106656252712,Core,"Sediment, Urban, Saltwater",23,12,0.826086956521739,4
SM1A02,16,14,0.577106656252712,Core,"Sediment, Urban, Saltwater",23,12,0.695652173913044,2
