bin	cov	MAG_status
MFD00082.bin.2.84	19.38031	MQ
MFD00082.bin.2.86	26.347025	MQ
MFD00082.bin.2.88	19.632856	MQ
MFD00082.bin.2.9	35.546833	MQ
MFD00082.bin.2.91	23.851936	MQ
MFD00082.bin.2.93	31.956957	MQ
MFD00082.bin.2.96	57.831142	MQ
MFD00082.bin.3.110	21.073666	MQ
MFD00082.bin.3.17	14.539987	MQ
MFD00082.bin.3.65	66.788704	MQ
MFD00082.bin.3.95	23.298922	MQ
MFD00123.bin.2.2	9.024777	MQ
MFD00123.bin.2.6	6.9490976	MQ
MFD00123.bin.3.2	11.529715	MQ
MFD00125.bin.1.50	21.596682	MQ
MFD00125.bin.2.15	29.183262	MQ
MFD00125.bin.2.36	37.63486	MQ
MFD00125.bin.2.43	17.274021	MQ
MFD00125.bin.2.44	21.953367	MQ
MFD00125.bin.2.47	28.505869	MQ
MFD00125.bin.2.52	21.66582	MQ
MFD00125.bin.2.56	16.915161	MQ
MFD00125.bin.2.61	19.36576	MQ
MFD00125.bin.2.62	30.700626	MQ
MFD00125.bin.2.65	34.774075	MQ
MFD00125.bin.2.70	23.683527	MQ
MFD00125.bin.2.73	37.044876	MQ
MFD00125.bin.2.82	19.529188	MQ
MFD00125.bin.2.84	23.855762	MQ
MFD00125.bin.2.87	33.067356	MQ
MFD00125.bin.2.93	26.76747	MQ
MFD00125.bin.2.97	32.810665	MQ
MFD00125.bin.2.98	40.974586	MQ
MFD00125.bin.3.20	30.925707	MQ
MFD00125.bin.3.45	81.1948	MQ
MFD00125.bin.3.95	17.010935	MQ
MFD00392.bin.1.420	44.08537	MQ
MFD00392.bin.2.10	27.709702	MQ
MFD00392.bin.2.103	20.796797	MQ
MFD00392.bin.2.108	24.963814	MQ
MFD00392.bin.2.11	40.12288	MQ
MFD00392.bin.2.110	19.470186	MQ
MFD00392.bin.2.112	12.869306	MQ
MFD00392.bin.2.113	21.60434	MQ
MFD00392.bin.2.114	34.980995	MQ
MFD00392.bin.2.115	61.31073	MQ
MFD00392.bin.2.118	16.341135	MQ
MFD00392.bin.2.119	35.273396	MQ
MFD00392.bin.2.12	19.87123	MQ
MFD00392.bin.2.120	18.102102	MQ
MFD00392.bin.2.122	26.856592	MQ
MFD00392.bin.2.124	30.857481	MQ
MFD00392.bin.2.125	21.832699	MQ
MFD00392.bin.2.126	15.046538	MQ
MFD00392.bin.2.127	24.838839	MQ
MFD00392.bin.2.129	29.092417	MQ
MFD00392.bin.2.13	14.070069	MQ
MFD00392.bin.2.132	33.13067	MQ
MFD00392.bin.2.134	22.22873	MQ
MFD00392.bin.2.135	39.48648	MQ
MFD00392.bin.2.136	13.655122	MQ
MFD00392.bin.2.137	22.902643	MQ
MFD00392.bin.2.138	23.566006	MQ
MFD00392.bin.2.140	27.781284	MQ
MFD00392.bin.2.141	15.520913	MQ
MFD00392.bin.2.143	34.70838	MQ
MFD00392.bin.2.144	16.73228	MQ
MFD00392.bin.2.145	28.0473	MQ
MFD00392.bin.2.146	14.470356	MQ
MFD00392.bin.2.149	18.837215	MQ
MFD00392.bin.2.15	52.9524	MQ
MFD00392.bin.2.152	56.748188	MQ
MFD00392.bin.2.156	13.020901	MQ
MFD00392.bin.2.160	20.689377	MQ
MFD00392.bin.2.170	40.135002	MQ
MFD00392.bin.2.171	17.448313	MQ
MFD00392.bin.2.174	25.383001	MQ
MFD00392.bin.2.175	22.619377	MQ
MFD00392.bin.2.186	24.065042	MQ
MFD00392.bin.2.193	62.625664	MQ
MFD00392.bin.2.194	14.555947	MQ
MFD00392.bin.2.2	34.419014	MQ
MFD00392.bin.2.206	22.016895	MQ
MFD00392.bin.2.213	54.790207	MQ
MFD00392.bin.2.216	24.225435	MQ
MFD00392.bin.2.23	27.632795	MQ
MFD00392.bin.2.235	30.175657	MQ
MFD00392.bin.2.237	17.199156	MQ
