cluster	cluster_qual	OWC	MFD-SR	TPMC	MFD-LR	GEM	SMAG	RBG	SPIRE
2019_TBCBL-02_bin.41.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2020_DQZB-w5_bin.97.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2020_MYSD-W1_bin.7.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-02_bin.47.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2021-YBJ-W3_bin.73.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
2019_TBCBL-02_bin.5.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-02_bin.50.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-02_bin.51.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
2019_TBCBL-02_bin.62.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-02_bin.64.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-02_bin.65.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-02_bin.66.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
spire_mag_01544423	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2019_TBCBL-03_bin.10.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-03_bin.14.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2020_CBL-w4_bin.63.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-03_bin.21.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-03_bin.23.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-03_bin.25.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-03_bin.29.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-03_bin.3.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2019_TBCBL-03_bin.41.purify	HQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.43.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
SRP219642_co6_192	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
2019_TBCBL-03_bin.44.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-03_bin.5.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-03_bin.55.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-03_bin.58.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
2019_TBCBL-04_bin.13.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.14.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.16.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.21.purify	HQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.22.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.28.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
spire_mag_01046182	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2019_TBCBL-04_bin.3.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.35.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2021-ZJZBSD-W52_bin.170.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
spire_mag_02004812	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2019_TBCBL-04_bin.40.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.45.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2020_CBL-w5_bin.94.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.48.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.5.purify	HQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.54.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.65.purify	HQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2020_SD-W-2_bin.110.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.75.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.78.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.80.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.81.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.82.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-04_bin.9.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-05_bin.1.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-05_bin.13.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-05_bin.2.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2020_CBL-w4_bin.120.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
spire_mag_00194589	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2019_TBCBL-05_bin.43.purify	HQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2019_TBCBL-05_bin.48.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-05_bin.7.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
SRP318679_co1_104	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
2019_TBMTW-3_bin.51.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLSH-01_bin.11.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLSH-01_bin.12.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLSH-01_bin.14.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLSH-01_bin.21.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2020_CC-20W-1-5m-1_bin.151.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
spire_mag_00240986	HQ	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
2019_TBLSH-01_bin.30.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
spire_mag_02036348	MQ	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
spire_mag_01960880	HQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2019_TBLSH-01_bin.67.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2020_CRC-20W-1-10m-1_bin.247.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
spire_mag_01094022	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2019_TBLSH-01_bin.74.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLSH-01_bin.77.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLSH-01_bin.78.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2019_TBLSH-01_bin.8.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2020_QHH6-W1_bin.126.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLSH-01_bin.88.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLSH-01_bin.9.purify	HQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2020_HHSD2-W1_bin.34.purify	MQ	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
2019_TBLSH-02_bin.5.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
3300027656_8	MQ	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
2019_TBLSH-03_bin.13.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLSH-03_bin.14.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLSH-03_bin.19.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLSH-03_bin.21.purify	HQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
3300028027_10	MQ	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
2019_TBLSH-03_bin.65.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLSH-03_bin.92.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLSH-04_bin.16.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2020_KMC-20W-1-20m-1_bin.147.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLSH-04_bin.22.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLSH-04_bin.3.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLSH-04_bin.43.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2020_LU-w6_bin.9.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
3300027132_5	HQ	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
2019_TBLSH-04_bin.57.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
spire_mag_02757387	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
3300011822_6	HQ	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
2019_TBLU-01_bin.10.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLU-01_bin.13.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2020_YM-W-1_bin.75.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLU-03_bin.2.purify	HQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLU-03_bin.9.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2020_LU-w5_bin.132.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2021-YBJ-W3_bin.259.purify	HQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
SRP219642_co3_511	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
2019_TBLU-04_bin.38.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
spire_mag_00880545	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2019_TBLU-05_bin.11.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
SRR5195114rbin.23	MQ	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
2019_TBLU-05_bin.2.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLU-05_bin.21.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLU-05_bin.6.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLU-06_bin.11.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLU-06_bin.16.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLU-06_bin.19.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLU-06_bin.21.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2019_TBLU-06_bin.22.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLU-06_bin.23.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLU-06_bin.9.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLU-07_bin.10.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
spire_mag_00405231	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
2019_TBLU-07_bin.29.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLU-07_bin.31.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
2019_TBLU-07_bin.32.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLU-07_bin.46.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
